,datetime,latitude,longitude,city,state,duration,shape,comments
68866,2010-07-04 22:00:00,39.7683333,-86.1580556,indianapolis,in,900,fireball,More than 7 Red Flaring Orbs in East Indianapolis Sky on 4th of July
68867,2010-07-04 22:00:00,47.7988889,-122.4969444,kingston,wa,120,light,Red very slow pulsating light
68868,2010-07-04 22:00:00,48.0152778,-122.0625,lake stevens,wa,30,circle,Glowing orange ball slowly flies toward us in an &quot;S&quot;&#44 drops down&#44 pauses&#44 then flies away.
68869,2010-07-04 22:00:00,47.1719444,-122.5172222,lakewood,wa,3600,cylinder,4th of July Glowing objects floating among fireworks in Lakewood&#44 WA  ((NUFORC Note:  Possible party lanterns?  PD))
68870,2010-07-04 22:00:00,47.1719444,-122.5172222,lakewood,wa,1800,fireball,Red fireball fading in and out&#44 moving slowly through sky.
68871,2010-07-04 22:00:00,32.7375,-101.9505556,lamesa,tx,3600,circle,Red light:  4th of July in Texas
68872,2010-07-04 22:00:00,41.4527778,-82.1825,lorain,oh,1320,circle,big orange ball floating steady through the sky in Ohio on July 4&#44 2010
68873,2010-07-04 22:00:00,47.8211111,-122.3138889,lynnwood,wa,80,circle,Red circle shape- high up hovering around- turned black then took off fast&#33
68874,2010-07-04 22:00:00,40.7744444,-97.0502778,milford,ne,1800,fireball,A red fireball hovered over Milford Nebraska.
68875,2010-07-04 22:00:00,41.8338889,-75.8775,montrose,pa,1200,fireball,Bright circle of red / orange light seemed to circle the house.
68876,2010-07-04 22:00:00,41.4619444,-96.7794444,north bend,ne,120,unknown,&quot;Burning&quot; flying object passes at least 3 times east of North Bend&#44 Nebraska&#44 USA
68877,2010-07-04 22:00:00,42.3111111,-71.9286111,paxton,ma,30,unknown,A real July 4th show
68878,2010-07-04 22:00:00,36.4194444,-82.3041667,piney flats,tn,180,other,fireball (looked like flames) with some type of top over it  traveling above clouds in straight line east to west
68879,2010-07-04 22:00:00,38.7316667,-82.9977778,portsmouth,oh,180,light,Bright dim light seen from the Carl Perkins bridge during 4th of July fireworks show
68880,2010-07-04 22:00:00,38.6911111,-121.4475,rio linda,ca,180,fireball,orangeish red &amp; it moved like no other flying object right admist the fireworks and in front of every one who looked at it  &#44very real.
68881,2010-07-04 22:00:00,36.5708333,-119.6111111,selma,ca,15,other,Dim red/orange object slowed then sped up again while maintaining trajectory
68883,2010-07-04 22:00:00,42.1013889,-72.5902778,springfield,ma,30,light,Reddish/orange light observed moving low in night sky West to East; no flashing or sounds.
68884,2010-07-04 22:00:00,27.9472222,-82.4586111,tampa,fl,900,unknown,2 red globes in sky over Tampa on July 4th 2010
68885,2010-07-04 22:00:00,45.6388889,-122.6602778,vancouver,wa,1800,fireball,The objects finally came into the shape of the constellation peggasas and were red orbs
68886,2010-07-04 22:00:00,45.6388889,-122.6602778,vancouver,wa,1800,formation,UFO&#39s seen on 4th of July&#44 above Vancouver&#44WA
68888,2010-07-04 22:00:00,41.5580556,-73.0519444,waterbury,ct,300,triangle,5 orange lights&#44 triangular formation&#44 no noise&#44 rose straight from the ground and took off quickly.
68890,2010-07-04 22:02:00,44.9444444,-93.0930556,st. paul,mn,240,formation,3 round red lights moving in formation (line) from the West to the East.
68891,2010-07-04 22:05:00,32.7833333,-96.8,dallas,tx,1800,light,While driving home from work on I-635 heading W at about 10:05 PM I noticed a bright light in the sky.  ((NUFORC Note:  Venus?  PD))
68892,2010-07-04 22:15:00,41.4297222,-97.3680556,columbus,ne,1200,fireball,I took my son to the store about 9:00 pm on the evening of July 4th&#44 2010.  We left the store around 10:15 pm. My store receipt reads t
68893,2010-07-04 22:15:00,45.4444444,-99.0288889,ipswich,sd,180,light,Orange light moving slowly without sound over Ipswich&#44 SD
68894,2010-07-04 22:15:00,41.6661111,-81.3397222,mentor,oh,300,fireball,UFO sightling of a reddish orange fireball in Menor OH on July 4th 2010
68896,2010-07-04 22:15:00,41.7713889,-93.7127778,polk city,ia,600,disk,Unusual light in sky 7/4/10 from Saylorville campground.
68897,2010-07-04 22:20:00,41.7747222,-78.0208333,coudersport,pa,180,fireball,Orange fireball witnessed in Northern PA on July 4th&#44 2010
68898,2010-07-04 22:30:00,42.3211111,-85.1797222,battle creek,mi,3600,teardrop,multiple Orange/Red pulsating lights seen over Battle Creek During fireworks July 4&#44 2010
68899,2010-07-04 22:30:00,41.3647222,-96.1575,bennington,ne,300,fireball,There was this flashing red ball that kind of looked like it was on fire traveling through the sky.
68902,2010-07-04 22:30:00,39.5147222,-86.7938889,cloverdale,in,300,fireball,A slow moving flame with cupped milky vertical white disk behind it.
68903,2010-07-04 22:30:00,47.8108333,-122.3761111,edmonds,wa,240,cylinder,Two strange orange glowing cylinder shaped lights apeared for 2 minutes from nowhere and disapeared just as suddenly.
68904,2010-07-04 22:30:00,42.1291667,-80.0852778,erie,pa,120,circle,Bright red light hovering during 4th of July-not a firework.
68905,2010-07-04 22:30:00,42.4391667,-123.3272222,grants pass,or,1800,fireball,2 separate sightings July 4th 2010 of Orange &quot;fireball&quot; type objects moving slowly to the south in Southern Oregon area.
68906,2010-07-04 22:30:00,45.4444444,-99.0288889,ipswich,sd,1800,light,Bright&#44 unexplained light
68907,2010-07-04 22:30:00,40.6994444,-99.0811111,kearney,ne,2100,oval,Multiple UFO sightings in Kearney Nebraska
68908,2010-07-04 22:30:00,48.0152778,-122.0625,lake stevens,wa,60,sphere,Large orange amber sphere flying over Callow road in Lake Stevens&#44 Washington. 9 witnesses.
68909,2010-07-04 22:30:00,44.6497222,-93.2425,lakeville,mn,60,sphere,Three glowing orange balls in Minnesota on july 4th 2010
68910,2010-07-04 22:30:00,40.8,-96.6666667,lincoln,ne,300,unknown,5 orange lights in sky create triangle formation&#44 than morph and &quot;fade out&quot;. Entire neighborhood witnessed.
68911,2010-07-04 22:30:00,39.9241667,-83.8088889,springfield,oh,120,fireball,2 fireballs in the sky in springfield ohio july 4 2010
